mountain_id,mountain_name,country,height,mountain_description,highest_peak,trail_id,trail_name,trail_description,difficulty,length,elevation_gain
1,Mont Blanc,France,4810.45,The highest mountain in the Alps,Mont Blanc de Courmayeur,1,La Visaille - Peuterey,"A pleasant excursion in the mountains of Courmayeur, which starts from La Visaille and proceeds along the Zerotta road. The route reaches the locality of Peuterey passing through the Mont Blanc Refuge (1680m), Peindeint, Lassy Damon, Lassy Desot and Perthud.",Easy,6.0,153
1,Mont Blanc,France,4810.45,The highest mountain in the Alps,Mont Blanc de Courmayeur,2,"The Mont Blanc Tour, Segment 4","The Mont Blanc Tour crosses three countries in 170 km of discovery for a total of 10 days of satisfaction. This route is a variant of Segment 4, starting from the Combal Refuge (1969m) and proceeding towards Lake Miage before returning to the trail and approaching Courmayeur. The route takes place with steep paths but beautiful views. Some sections of the trail are eroded, so caution is advised.",Moderate,13.4,560
2,Matterhorn,Switzerland,4478.45,Famous pyramid-shaped mountain,Dufourspitze,3,Matterhorn Glacier Trail: Schwarzsee - Matterhorngletscher - Trockener Steg,"This trail is a high-altitude route through the Alpine peaks, leading from Schwarzsee to Trockener Steg and offering fantastic views of the Matterhorn Glacier. The starting point can be reached with the Matterhorn Express cable car. It's quite a popular trail with amazing terrain. Very rocky in some places, so good footwear is recommended. Please be aware that the trail can be completely covered in snow starting from October.",Hard,6.3,498
3,Kilimanjaro,Tanzania,5895.16,Tallest freestanding mountain in the world,Uhuru Peak,4,Mount Kilimanjaro: Machame Route,"This is the route to climb Kilimanjaro via Machame route. Seven day trip, camping on the mountain six nights.",Hard,57.0,5185
4,Ben Nevis,United Kingdom,1344.53,Highest peak in the UK,Ben Nevis,5,Ben Nevis Mountain Track,"The UK's highest mountain, ""The Ben"" or Ben Nevis, is one of the most popular spots in Scotland. A challenging and sustained climb, this route will test your endurance as you wind your way up the rocky and steep track to the summit. This big climb must not be underestimated and the correct preparation is required for a safe day out. Please note, due to the high elevation gain, the summit is frequently very cold, windy, and wet, and you will always need to be prepared for changeable weather and freezing conditions, even in summer. This includes snow and ice that can often remain on this route beyond winter. It is therefore necessary to check weather and summit conditions before heading out as the temperate difference between the trailhead and the top drops significantly. Warm and waterproof layers, plenty of food and water, sun protection, and sturdy footwear are all essential for this trail.",Hard,15.9,1342
5,Etna,Italy,3330.99,Europe's most active volcano,Punta La Montagnola,6,Pian del Lago Crater,"SAFETY NOTICE: The Etna Volcano is active and constantly erupting. It is therefore advisable to check the weather and geological forecasts and the state of the trails before walking in this area. For more information: https://www.ct.ingv.it/ https://parcoetna.it/. A pleasant excursion to one of the craters of Etna, starting from the Montagnola, reachable by cable car from the Sapienza Refuge. The route takes place in a loop and reaches the Pian del Lago Crater which was formed during the eruption of 2001. From the top of the crater, it is possible to see the Barbagallo Crater and the Summit Craters.",Moderate,2.1,158
6,Vatnajokull,Iceland,2110.13,Largest ice cap in Europe,Hvannadalshnjukur,7,Svartifoss - Sjonarsker,"This fantastic trail will show you several waterfalls in Skaftafell. First, you go in the direction of Lambhagi to reach the Svartifoss waterfall. Svartifoss is surrounded by dark lava columns which gave rise to his name. Fantastic basalt Columnar next to the waterfall. After that, you will see a second waterfall called Magnusarfoss, which is the smallest of the 3 waterfalls and a last one called Hundafoss, which is the tallest. The path then goes to the Sjonarsker mountain that offers you incredible views.",Moderate,4.7,193
7,Dinara,Croatia,1831.97,Prominent mountain on the border with Bosnia and Herzegovina,Troglav,8,Sveti Jakov - Troglav - Velika Duvjakusa,"This demanding trail starts from the Sveti Jakov mountain house (1001 m), which is located on the edge of Ravni Vrdov. The trail leads to the peak of Troglav (1913 m), which is located in the territory of Bosnia and Herzegovina and is the highest peak of the Dinara mountain range in the Dinaric Mountains. From Troglav, the trail leads to the top of Velika Duvjakusa (1708 m), the highest peak on the Croatian side. Below Velika Duvjakusa is the Puma mountain shelter.",Hard,32.5,1517
8,Biokovo,Croatia,1762.14,Stunning coastal mountain in southern Croatia,Sveti Jure,9,Makar - Vosac,"This trail starts from the village of Makar, located right above Makarska. It is the oldest hiking trail on the southern side of Biokovo, the largest, longest, most beautiful, but also the harshest mountain in Dalmatia. The path normally leads to the peak of Sveti Jure (1594 m), the highest peak of Biokovo, and our path goes to the peak of Vosac (1422 m). At the very beginning, the trail is wide and leads along serpentines, winding continuously. The higher the trail climbs, the narrower it gets. On the top of Vosac is the Toni Roso Mountain Hut, from where you can enjoy a wonderful view in all directions.",Hard,10.6,1191
9,Ucka,Croatia,1401.63,Mountain range overlooking the Istrian Peninsula,Vojak,10,Mala Ucka - Vojak,"The trail starts from the village of Mala Ucka, the highest rural settlement in Istria, located at 995 meters above sea level. The village is almost deserted. The path continues through a tall beech forest with a sharp climb to the exit to the saddle at the foot of the Vojak peak, from where there is a sharp ascent along a grassy rocky ridge all the way to the top where the old lookout tower is located, offering a beautiful view in all directions. The return goes to the saddle and the circular path back to Mala Ucka.",Moderate,6.9,429
10,Ural Mountains,Russia,1895.0,The Ural Mountains are a mountain range that runs approximately from north to south through western Russia,Mount Narodnaya,,,,,,
